;Food ;Mines;Oil  ;Clths;Durbl;Chems;Cnsum;Cnstr;Steel;FabPr;Machn;Cars ;Trans;Utils;Rtail;Finan;Other
197610;-0,032671136;-0,03759085;-0,029060265;NaN;-0,033014726;-0,025806046;-0,030132167;0,021428245;-0,072696502;NaN;-0,040997326;-0,009786812;-0,053489185;-0,017472035;-0,00220861;-6,78E-05;-0,017539404
197611;0,007057346;-0,021023379;0,00238887;NaN;-0,025574554;-0,064014089;-0,074373156;0,020686739;-0,020313981;NaN;0,002795192;-0,01087262;0,040951236;0,028873853;0,044915334;0,00127577;0,005389663
197612;0,026773678;0,054648218;0,055487019;0,013872945;0,03565501;0,098395155;0,046678065;0,06662441;0,073733186;NaN;0,021286199;0,101340545;0,044075419;0,055905146;-0,009574652;0,086825555;0,033029738
197701;-0,065358984;-0,034238213;-0,013271168;-0,051829083;-0,092603484;-0,071762349;-0,093008759;-0,092934694;-0,066269136;NaN;-0,053264585;-0,039809003;-0,057529793;0,000443147;-0,1041004;-0,072194496;-0,042999214
197702;-0,014543921;-0,030646111;-0,034596679;-0,081941195;-0,036623675;-0,014303591;-0,003979148;-0,021308662;-0,005901571;NaN;-0,004242001;-0,043396795;-0,031688444;-0,037867359;-0,020287567;-0,029011387;-0,004300245
197703;-0,012669873;0,013992504;-0,023418799;-0,034729702;-0,048435882;-0,011961209;-0,026619681;0,010111283;-0,007425397;NaN;0,003813395;-0,056048202;-0,000976144;-0,001489382;-0,05206352;-0,017097707;-0,019000106
197704;-0,00485532;-0,044729683;0,022790588;0,058010945;-0,000948003;-0,010941319;-0,038023304;0,007226467;0,004774739;0,01442928;-0,03647234;0,017580635;0,043801418;0,016192252;-0,053693242;0,014471893;-0,000659398
197705;-0,015792927;-0,104507858;-0,007711902;-0,083608255;-0,042599843;-0,045148061;-0,022045973;-0,044222408;-0,06999531;-0,00459755;-0,024799551;-0,003990548;0,002897588;0,014471354;-0,051758541;-0,00611469;-0,006902907
197706;0,045168835;-0,016268422;0,046139294;0,051772165;0,051762822;-0,010646883;0,073529723;0,038814841;-0,020179236;0,033355701;0,059192976;0,037092603;0,035485649;0,045519633;0,058548194;0,064516837;0,035652884
197707;0,019073977;-0,0814647;-0,023988159;-0,030914938;-0,026473795;-0,039938237;-0,012901345;-0,077814318;-0,088599708;-0,053402913;-0,012061335;-0,033146464;-0,025477668;0,005838072;-0,010798026;-0,011028253;-0,021037184
197708;-0,005847629;0,025051966;-0,064437779;0,013891934;0,019384343;-0,035158665;0,034517797;-0,021425692;-0,072924894;-0,031270503;0,001369724;-0,006769199;-0,049510588;-0,037566689;0,067816697;-0,026842209;-0,023955922
197709;-0,002164921;-0,042403788;0,000353432;0,02580036;-0,012014614;-0,009615937;-0,021094841;-0,033675471;-0,077419191;0,014610476;-0,020453662;0,035798553;-0,037520774;0,015976367;-0,031300293;-0,011616745;0,008420863
197710;-0,057068205;-0,074087925;-0,038359291;-0,043690979;-0,088970252;-0,036258038;-0,03865909;-0,047202533;0,015129724;-0,056589126;-0,03879994;-0,053757712;-0,038132416;-0,039400748;-0,037234847;-0,06847536;-0,052805567
197711;0,022122539;0,012124517;0,023341002;0,062670293;-0,003914152;0,013358169;0,047353765;0,053490456;-0,007691787;0,024081607;0,037634607;0,005873695;0,055331961;0,039713965;0,039612457;0,052036722;0,027881531
197712;-0,009586816;0,00390702;0,011392283;-0,001619964;-0,011894583;0,003044565;-0,009303215;-0,014334588;0,052228472;0,011327085;0,018912629;-0,013399164;0,009134387;-0,007679281;-0,04738084;-0,011446479;0,006294949
197801;-0,057123738;-0,082141913;-0,077025826;-0,069865742;-0,083968873;-0,076057558;-0,039014073;-0,095488413;-0,067136229;-0,075612275;-0,051607455;-0,074041121;-0,044686653;-0,054597148;-0,089894713;-0,087205585;-0,062282119
197802;-0,006973369;-0,025631882;-0,018643959;-0,002998362;-0,044967663;-0,063460201;-0,032024499;-0,028197024;-0,06605747;-0,046304916;-0,04649112;0,009527688;-0,001152382;-0,011303879;-0,024822886;-0,017913219;0,000897505
